"species","source","ID","lon","lat"
"Quercus chapmanii","BISON",37211,-82.0391006469727,29.2089500427246
"Quercus chapmanii","BISON",37212,-81.0808868408203,29.3075008392334
"Quercus chapmanii","BISON",37213,-81.4614181518555,27.8288898468018
"Quercus chapmanii","BISON",37214,-81.9898834228516,29.7203407287598
"Quercus chapmanii","BISON",37215,-81.5734710693359,27.6542892456055
"Quercus chapmanii","BISON",37216,-81.5858306884766,27.8466663360596
"Quercus chapmanii","BISON",37217,-81.7816009521484,28.0454998016357
"Quercus chapmanii","BISON",37218,-80.3789978027344,27.5401668548584
"Quercus chapmanii","BISON",37219,-81.25,27.6299991607666
"Quercus chapmanii","BISON",37220,-86.2775497436523,30.5505332946777
"Quercus chapmanii","BISON",37222,-84.4539566040039,29.9323501586913
