All,County,Short,District,State
"McDuffie County, Georgia",McDuffie County,McDuffie,County,Georgia
"McIntosh County, Georgia",McIntosh County,McIntosh,County,Georgia
"Macon County, Georgia",Macon County,Macon,County,Georgia
"Madison County, Georgia",Madison County,Madison,County,Georgia
"Marion County, Georgia",Marion County,Marion,County,Georgia
"Meriwether County, Georgia",Meriwether County,Meriwether,County,Georgia
"Miller County, Georgia",Miller County,Miller,County,Georgia
"Mitchell County, Georgia",Mitchell County,Mitchell,County,Georgia
"Monroe County, Georgia",Monroe County,Monroe,County,Georgia
"Montgomery County, Georgia",Montgomery County,Montgomery,County,Georgia
"Morgan County, Georgia",Morgan County,Morgan,County,Georgia
"Murray County, Georgia",Murray County,Murray,County,Georgia
"Muscogee County, Georgia",Muscogee County,Muscogee,County,Georgia
"Newton County, Georgia",Newton County,Newton,County,Georgia
"Oconee County, Georgia",Oconee County,Oconee,County,Georgia
"Oglethorpe County, Georgia",Oglethorpe County,Oglethorpe,County,Georgia
"Paulding County, Georgia",Paulding County,Paulding,County,Georgia
"Peach County, Georgia",Peach County,Peach,County,Georgia
"Pickens County, Georgia",Pickens County,Pickens,County,Georgia
"Pierce County, Georgia",Pierce County,Pierce,County,Georgia
